OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
81.54,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,NA
5,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2011,A,RANK,NA
81.4,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,NA
7,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2010,A,RANK,NA
82,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,NA
3,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2009,A,RANK,NA
82,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,NA
2,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2008,A,RANK,NA
81,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2007,A,YR,NA
3,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUS,_T,_T,_T,_Z,_Z,_Z,2007,A,RANK,NA
81.84,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2017,A,YR,NA
17,602,0,NA,A,PU,NA,NA,NA,NA,TRUE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2017,A,RANK,NA
81.34,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2016,A,YR,NA
19,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2016,A,RANK,NA
80.89,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2015,A,YR,NA
21,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2015,A,RANK,NA
80.94,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2014,A,YR,NA
19,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2014,A,RANK,NA
81.03,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,NA
15,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2013,A,RANK,NA
80.38,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,NA
20,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2012,A,RANK,NA
80.08,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,AUT,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,NA
