country_code,year,gdp_per_capita,log_gdp_per_capita,region
NPL,2015,875.543635,6.774844990575307,South Asia
NLD,2015,45793.813543,10.731904285498413,Europe & Central Asia
NCL,2015,30858.723706,10.337174767511678,East Asia & Pacific
NZL,2015,38648.730256,10.562269201108517,East Asia & Pacific
NIC,2015,2074.456206,7.637454328921023,Latin America & Caribbean
NER,2015,485.662574,6.18551409058699,Sub-Saharan Africa
NGA,2015,2585.733607,7.857764540491128,Sub-Saharan Africa
MKD,2015,5262.686719,8.56839695840633,Europe & Central Asia
MNP,2015,17665.100749,9.779346263088614,East Asia & Pacific
LTU,2011,14261.843379,9.565342954828328,Europe & Central Asia
LUX,2011,119025.057203,11.687089314659117,Europe & Central Asia
MAC,2011,67046.728429,11.113145094514188,East Asia & Pacific
MDG,2011,506.163692,6.226860118948268,Sub-Saharan Africa
MWI,2011,763.061,6.63733797566418,Sub-Saharan Africa
MYS,2011,10217.106859,9.23181873747771,East Asia & Pacific
MDV,2011,7424.520411,8.912543370473694,South Asia
MLI,2011,938.292903,6.844062163588405,Sub-Saharan Africa
MLT,2011,23516.972446,10.065477671193094,Middle East & North Africa
MHL,2011,3319.398154,8.107538766561863,East Asia & Pacific
MRT,2011,1931.199755,7.565896723479133,Sub-Saharan Africa
DMA,2008,6971.326338,8.84956077804725,Latin America & Caribbean
DOM,2008,5023.585134,8.52189912790717,Latin America & Caribbean
ECU,2008,4194.757507,8.341590811986181,Latin America & Caribbean
EGY,2008,1896.215943,7.547615570316881,Middle East & North Africa
SLV,2008,2983.248296,8.000768018060462,Latin America & Caribbean
GNQ,2008,18210.555297,9.809756666325912,Sub-Saharan Africa
ERI,2008,490.066956,6.194542026667568,Sub-Saharan Africa
EST,2008,18205.906411,9.809501348493963,Europe & Central Asia
SWZ,2008,2946.860661,7.988495699977535,Sub-Saharan Africa
ETH,2008,316.410475,5.7570403421722816,Sub-Saharan Africa
FRO,2008,51287.891108,10.845209962517124,Europe & Central Asia
FJI,2008,3899.922315,8.268711912688579,East Asia & Pacific
COL,2009,5250.972924,8.566168657273394,Latin America & Caribbean
COM,2009,1410.30517,7.251561392578166,Sub-Saharan Africa
COD,2009,280.178991,5.635428652505148,Sub-Saharan Africa
COG,2009,2271.152192,7.728042555271839,Sub-Saharan Africa
CRI,2009,6832.698282,8.829474937798263,Latin America & Caribbean
CIV,2009,1540.453936,7.339832415609773,Sub-Saharan Africa
HRV,2009,14474.525139,9.580145496307226,Europe & Central Asia
CUB,2009,5089.235198,8.534882842459357,Latin America & Caribbean
CUW,2009,19540.247658,9.880231599927917,Latin America & Caribbean
CYP,2009,32236.462891,10.380853478784164,Europe & Central Asia
CZE,2009,19817.421584,9.894316707796708,Europe & Central Asia
DNK,2009,58412.747236,10.975289419586927,Europe & Central Asia
FSM,2010,2715.268737,7.906646209790051,East Asia & Pacific
MDA,2010,2436.799351,7.798440715807966,Europe & Central Asia
MCO,2010,161853.922745,11.99444949597758,Europe & Central Asia
MNG,2010,2625.218814,7.872919529265949,East Asia & Pacific
MNE,2010,6678.639396,8.806669562550912,Europe & Central Asia
MAR,2010,3067.985352,8.028776388029856,Middle East & North Africa
MOZ,2010,496.185839,6.206950531954852,Sub-Saharan Africa
MMR,2010,1010.534173,6.918234354183788,East Asia & Pacific
NAM,2010,5418.216334,8.597521950603907,Sub-Saharan Africa
NRU,2010,4735.920005,8.462931285585041,East Asia & Pacific
NPL,2010,585.278492,6.372087788654622,South Asia
NOR,2015,77220.952431,11.254426103735948,Europe & Central Asia
OMN,2015,18808.307792,9.842053955037086,Middle East & North Africa
